time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.820000000000002,-0.00787306102517,1.11537226129e-09,34.700957661,6.28318530682,0.000424473938879,0.0,-0.00788661675177,2.03463776001e-10,16.9554952507,-9.75653445604e-10,9.56455804494e-06,0.0,900.000613958,900.002079075,-0.00168145599924,-0.000977696211042
2.880000000000002,-0.00835410404587,1.12069867088e-09,35.7191076817,6.28318530676,0.000425739282922,0.0,-0.00814806288554,-3.11059914219e-11,16.9824346593,-9.8092323199e-10,4.41325698359e-05,0.0,900.000683837,900.002082959,-0.00186919519908,-0.00176353064558
2.940000000000002,-0.00885083042264,1.11090011153e-09,36.7387949714,6.2831853067,0.00042880972715,0.0,-0.00840958667823,-3.00709699043e-10,17.0067759536,-9.95595940223e-10,6.5256064181e-05,0.0,900.000474525,900.001328591,-0.00168974865946,-0.00133659752095
3.000000000000002,-0.00936327814554,1.08387025055e-09,37.7598711799,6.28318530664,0.000432898783852,0.0,-0.00867222388871,-6.05460811132e-10,17.0287668042,-9.25539734822e-10,7.39411920679e-05,0.0,900.000422111,900.000772165,-0.00219078082765,-0.00314680835839
3.0600000000000023,-0.00989153247851,1.03753491107e-09,38.7822020349,6.28318530659,0.000437146751847,0.0,-0.00893651543509,-9.43894425246e-10,17.048629145,-9.30562136556e-10,6.45140660826e-05,0.0,899.999771939,899.999388585,-0.00342834312998,-0.00337456748621
3.1200000000000023,-0.0104356938375,9.69913096218e-10,39.8056661112,6.28318530653,0.000440032246653,0.0,-0.00920238164716,-1.31493859256e-09,17.0665694954,-8.42624449146e-10,1.52200296311e-05,0.0,900.000521876,899.998524884,-0.00274215718871,-0.00373159381461
3.1800000000000024,-0.0109958269682,8.79097013903e-10,40.8301537522,6.28318530648,0.00044066076201,0.0,-0.0094686842445,-1.71653308561e-09,17.0827738927,-7.32366298875e-10,9.82187808968e-07,0.0,900.00035063,899.999773909,-0.00140441792128,-0.00316284283606
3.2400000000000024,-0.0115719257066,7.6336380842e-10,41.8555658338,6.28318530644,0.000440357881729,0.0,-0.00973449891107,-2.14488653188e-09,17.0974076917,-5.93666187712e-10,-1.71134469517e-05,0.0,900.000547559,899.999815003,-0.00134750487037,-0.00345234154281
3.3000000000000025,-0.0121639455613,6.21243951212e-10,42.8818126072,6.28318530641,0.000439547026858,0.0,-0.00999932665869,-2.59536016677e-09,17.1106182879,-4.72403028111e-10,-6.31543224376e-06,0.0,899.998910661,899.99934818,-0.00327888787441,-0.00442536934376
3.3600000000000025,-0.0127718247427,4.5155192247e-10,43.9088129118,6.28318530639,0.000438293683837,0.0,-0.0102631611119,-3.06323875137e-09,17.1225446864,-2.66479695586e-10,-5.00578571163e-05,0.0,899.99956475,899.997794149,-0.00259277181719,-0.00466067447681
